Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON YIELD (Kg per ha)
9,2002,6,Madhya Pradesh,Chhindwara,25.4,433.07,71.4,1471.99,27.9,695.34,5.8,5775.86,29.9,239.8
9,2003,6,Madhya Pradesh,Chhindwara,24.3,868.31,84.2,2021.38,28.1,1548.04,6.1,6377.05,30.5,413.44
9,2004,6,Madhya Pradesh,Chhindwara,22.68,671.08,84.26,1727.63,25.89,1626.11,12.56,2937.9,30.07,380.11
9,2005,6,Madhya Pradesh,Chhindwara,21.57,764.49,91.94,1517.95,25.86,1181.36,14.11,2693.83,32.03,436.15
9,2006,6,Madhya Pradesh,Chhindwara,20.56,810.8,105.95,1877.96,24.81,1328.5,14.69,3536.42,31.1,505.14
9,2007,6,Madhya Pradesh,Chhindwara,20.5,585.85,110.7,2018.07,26.1,1337.16,6.7,6716.42,28.6,527.97
9,2008,6,Madhya Pradesh,Chhindwara,19.3,495.85,82.8,2115.94,25.6,1281.25,5.9,6491.53,28.1,569.4
9,2009,6,Madhya Pradesh,Chhindwara,18.8,755.32,111.1,3827.18,23.5,1378.72,4.7,6574.47,27.5,974.18
9,2010,6,Madhya Pradesh,Chhindwara,18.3,1650.27,114.5,3396.51,19.9,1668.34,4.7,6851.06,28.34,1595.94
9,2011,6,Madhya Pradesh,Chhindwara,20.2,2128.71,122.1,2283.7,24.1,2726.14,6.1,6770.49,27.68,1153.65
9,2012,6,Madhya Pradesh,Chhindwara,13.94,2752.51,138.57,3166.2,17.66,1699.32,5.72,6788.46,33.77,195.44
9,2013,6,Madhya Pradesh,Chhindwara,13.81,2031.14,146.14,2275.35,17.48,2485.13,4.53,6927.15,34.09,201.82
9,2014,6,Madhya Pradesh,Chhindwara,20,2400,155,2935.48,18,1666.67,6,5833.33,15,120
9,2015,6,Madhya Pradesh,Chhindwara,31,1741.94,165,3854.55,25,1840,4,4750,44,40.91
9,2016,6,Madhya Pradesh,Chhindwara,35,1523.71,179,3229.05,27,1851.85,0,0,45,192
9,2017,6,Madhya Pradesh,Chhindwara,34.01,1236.7,181,3420.99,16.44,1510.34,11,400,47.6,201.78
10,1966,6,Madhya Pradesh,Narsinghpur,17.2,313.95,24,583.33,0,0,0.8,2000,1,0
10,1967,6,Madhya Pradesh,Narsinghpur,16,1000,37,675.68,0,0,0.9,2000,0,0
10,1968,6,Madhya Pradesh,Narsinghpur,16.3,858.9,44.9,846.33,0.1,0,1.5,2066.67,0.3,0
10,1969,6,Madhya Pradesh,Narsinghpur,14.8,817.57,46.2,863.64,0.1,1000,2,1900,0.3,0
10,1970,6,Madhya Pradesh,Narsinghpur,14.1,1056.74,51.3,1013.65,0.1,1000,1.7,1882.35,0.1,0
10,1971,6,Madhya Pradesh,Narsinghpur,14.2,1028.17,44.5,903.37,0.1,1000,1.2,2083.33,0.1,0
10,1972,6,Madhya Pradesh,Narsinghpur,15.6,1115.38,41.7,954.44,0.2,500,1.2,2000,0.1,0
10,1973,6,Madhya Pradesh,Narsinghpur,15.4,1279.22,39.6,1045.45,0.4,500,0.9,2888.89,0.1,0
10,1974,6,Madhya Pradesh,Narsinghpur,15.5,864.52,37.6,1287.23,0.9,1000,1.7,2470.59,0,0
10,1975,6,Madhya Pradesh,Narsinghpur,14.7,1006.8,40.3,1034.74,1,900,2.2,2545.45,0,0
10,1976,6,Madhya Pradesh,Narsinghpur,14.9,812.08,39.2,989.8,0.9,666.67,2.5,2760,0,0
10,1977,6,Madhya Pradesh,Narsinghpur,14.8,972.97,40,827.5,0.7,428.57,2.3,2652.17,0.1,0
10,1978,6,Madhya Pradesh,Narsinghpur,15,940,41,1100,0.3,666.67,2.8,2535.71,0,0
10,1979,6,Madhya Pradesh,Narsinghpur,16.8,220.24,36.4,618.13,0.2,1500,2.3,1913.04,0,0
10,1980,6,Madhya Pradesh,Narsinghpur,16.3,1061.35,35.4,1313.56,0.2,1500,1.8,2388.89,0,0
10,1981,6,Madhya Pradesh,Narsinghpur,12.9,1085.27,34.7,1772.33,0.2,1500,1.6,2500,0,0
10,1982,6,Madhya Pradesh,Narsinghpur,15.9,1100.63,36.2,1488.95,0.3,666.67,1.6,2125,0,0
10,1983,6,Madhya Pradesh,Narsinghpur,15.9,1163.52,38.7,1374.68,0.3,666.67,2.7,2666.67,0,0
10,1984,6,Madhya Pradesh,Narsinghpur,16,962.5,41,1668.29,0,0,1.9,2631.58,0,0
10,1985,6,Madhya Pradesh,Narsinghpur,15.9,1496.86,39.4,1604.06,0,0,1.1,2636.36,0,0
10,1986,6,Madhya Pradesh,Narsinghpur,15,1266.67,38,1657.89,0.1,0,1.6,3437.5,0,0
